Bai,STT,Nghia_Tieng_Viet,Dap_An_Tieng_Nhat,Han_Tu,Han_Viet
1,1,tôi,わたし,私,TƯ
1,2,"chúng tôi, chúng ta",わたしたち,私たち,TƯ
1,3,anh/chị/ông/bà,あなた,貴方,QUÝ PHƯƠNG
1,4,"người kia, người đó",あのひと,あの人,NHÂN
1,5,vị kia,あのかた,あの方,PHƯƠNG
1,6,"các anh chị, các ông bà, các bạn, quý vị",みなさん,皆さん,GIAI
1,7,anh/chị/ông/bà (hậu tố sau tên),～さん,,
1,8,hậu tố sau tên trẻ em,～ちゃん,,
1,9,hậu tố sau tên em trai,～くん,～君,QUÂN
1,10,người nước ~,～じん,～人,NHÂN
1,11,"thầy, cô",せんせい,先生,TIÊN SINH
1,12,giáo viên,きょうし,教師,GIÁO SƯ
1,13,"học sinh, sinh viên",がくせい,学生,HỌC SINH
1,14,nhân viên công ty,かいしゃいん,会社員,HỘI XÃ VIÊN
1,15,nhân viên công ty,しゃいん,社員,XÃ VIÊN
1,16,nhân viên ngân hàng,ぎんこういん,銀行員,NGÂN HÀNH VIÊN
1,17,bác sĩ,いしゃ,医者,Y GIẢ
1,18,nhà nghiên cứu,けんきゅうしゃ,研究者,NGHIÊN CỨU GIẢ
1,19,kỹ sư,エンジニア,,
1,20,"đại học, trường đại học",だいがく,大学,ĐẠI HỌC
1,21,bệnh viện,びょういん,病院,BỆNH VIỆN
1,22,"điện, đèn điện",でんき,電気,ĐIỆN KHÍ
1,23,"ai, vị nào",だれ／どなた,誰／何方,THÙY / HÀ PHƯƠNG
1,24,~ tuổi,～さい,～歳,TUẾ
1,25,"mấy tuổi, bao nhiêu tuổi",なんさい／おいくつ,何歳,HÀ TUẾ
1,26,"vâng, dạ",はい,,
1,27,không,いいえ,,
1,28,"xin lỗi, ...",しつれいですが,失礼ですが,THẤT LỄ
1,29,Tên anh/chị là gì?,おなまえは？,お名前は？,DANH TIỀN
1,30,Rất hân hạnh được gặp anh/chị,はじめまして。,初めまして。,SƠ
1,31,Rất mong được sự giúp đỡ của anh/chị,どうぞよろしく［おねがいします］。,どうぞよろしく［お願いします］。,NGUYỆN
1,32,Đây là anh/chị/ông/bà ~,こちらは～さんです。,,
1,33,tôi đến từ ~,～からきました。,～から来ました。,LAI
1,34,Mỹ,アメリカ,,
1,35,Anh,イギリス,,
1,36,Ấn Độ,インド,,
1,37,Indonesia,インドネシア,,
1,38,Hàn Quốc,かんこく,韓国,HÀN QUỐC
1,39,Thái Lan,タイ,,
1,40,Trung Quốc,ちゅうごく,中国,TRUNG QUỐC
1,41,Đức,ドイツ,,
1,42,Nhật Bản,にほん,日本,NHẬT BẢN
1,43,Pháp,フランス,,
1,44,Braxin,ブラジル,,
1,45,Đại học Sakura (giả tưởng),さくらだいがく,さくら大学,ĐẠI HỌC
1,46,Đại học Phú Sĩ (giả tưởng),ふじだいがく,富士大学,ĐẠI HỌC
1,47,công ty điện Power,パワーでんき,,
1,48,tên một tổ chức giả tưởng,ＡＫＣ,,
1,49,tên một bệnh viện giả tưởng,こうべびょういん,神戸病院,THẦN HỘ BỆNH VIỆN
2,1,"cái này, đây",これ,,
2,2,"cái đó, đó",それ,,
2,3,"cái kia, kia",あれ,,
2,4,~ này,この～,,
2,5,~ đó,その～,,
2,6,~ kia,あの～,,
2,7,sách,ほん,本,BẢN/BỔN
2,8,từ điển,じしょ,辞書,TỪ THƯ
2,9,tạp chí,ざっし,雑誌,TẠP CHÍ
2,10,báo,しんぶん,新聞,TÂN VĂN
2,11,vở,ノート,,
2,12,sổ tay,てちょう,手帳,THỦ TRƯƠNG
2,13,danh thiếp,めいし,名刺,DANH THÍCH
2,14,"thẻ, cạc",カード,,
2,15,thẻ điện thoại,テレホンカード,,
2,16,bút chì,えんぴつ,鉛筆,DUYÊN BÚT
2,17,bút bi,ボールペン,,
2,18,"bút chì kim, bút chì bấm",シャープペンシル,,
2,19,chìa khóa,かぎ,鍵,KIỆN
2,20,đồng hồ,とけい,時計,THỜI KẾ
2,21,"ô, dù",かさ,傘,TẢN
2,22,"cặp sách, túi sách",かばん,,
2,23,băng cát-xét,［カセット］テープ,,
2,24,máy ghi âm,テープレコーダー,,
2,25,tivi,テレビ,,
2,26,radio,ラジオ,,
2,27,máy ảnh,カメラ,,
2,28,máy vi tính,コンピューター,,
2,29,"ô tô, xe hơi",じどうしゃ,自動車,TỰ ĐỘNG XA
2,30,cái bàn,つくえ,机,CƠ
2,31,cái ghế,いす,,
2,32,sô-cô-la,チョコレート,,
2,33,cà phê,コーヒー,,
2,34,tiếng Anh,えいご,英語,ANH NGỮ
2,35,tiếng Nhật,にほんご,日本語,NHẬT BẢN NGỮ
2,36,cái gì,なに,,
2,37,cái gì,なん,何,HÀ
2,38,đúng rồi,そう,,
2,39,"không phải, không đúng, sai rồi",ちがいます,違います,VI
2,40,"thế à, vậy à",そうですか,,
2,41,"à, ờ",あのう,,
2,42,chỉ là chút lòng thành thôi,ほんのきもちです,ほんの気持ち,KHÍ TRÌ
2,43,xin mời,どうぞ,,
2,44,cảm ơn,どうも,,
2,45,xin chân thành cảm ơn,どうもありがとうございます,,
2,46,từ nay tôi rất mong sự giúp đỡ của anh/chị,これからおせわになります,これからお世話になります,THẾ THOẠI
2,47,chính tôi mới phải xin anh/chị giúp đỡ,こちらこそよろしく,,
3,1,"chỗ này, đây",ここ,,
3,2,"chỗ đó, đó",そこ,,
3,3,"chỗ kia, kia",あそこ,,
3,4,"chỗ nào, đâu",どこ,,
3,5,"phía này, đằng này, chỗ này, đây",こちら,,
