Bai,STT,Nghia_Tieng_Viet,Dap_An_Tieng_Nhat,Han_Tu,Han_Viet
1,1,tôi,,私,
1,2,"chúng tôi, chúng ta",,私たち,
1,3,anh/chị/ông/bà,,貴方,
1,4,"người kia, người đó",,あの人,
1,5,vị kia,,あの方,
1,6,"các anh chị, các ông bà, các bạn, quý vị",,皆さん,
1,7,anh/chị/ông/bà (hậu tố sau tên),,,
1,8,hậu tố sau tên trẻ em,,,
1,9,hậu tố sau tên em trai,,～君,
1,10,người nước ~,,～人,
1,11,"thầy, cô",,先生,
1,12,giáo viên,,教師,
1,13,"học sinh, sinh viên",,学生,
1,14,nhân viên công ty,,会社員,
1,15,nhân viên công ty,,社員,
1,16,nhân viên ngân hàng,,銀行員,
1,17,bác sĩ,,医者,
1,18,nhà nghiên cứu,,研究者,
1,19,kỹ sư,,,
1,20,"đại học, trường đại học",,大学,
1,21,bệnh viện,,病院,
1,22,"điện, đèn điện",,電気,
1,23,"ai, vị nào",,誰／何方,
1,24,~ tuổi,,～歳,
1,25,"mấy tuổi, bao nhiêu tuổi",,何歳,
1,26,"vâng, dạ",,,
1,27,không,,,
1,28,"xin lỗi, ...",,失礼ですが,
1,29,Tên anh/chị là gì?,,お名前は？,
1,30,Rất hân hạnh được gặp anh/chị,,初めまして。,
1,31,Rất mong được sự giúp đỡ của anh/chị,,どうぞよろしく［お願いします］。,
1,32,Đây là anh/chị/ông/bà ~,,,
1,33,tôi đến từ ~,,～から来ました。,
1,34,Mỹ,,,
1,35,Anh,,,
1,36,Ấn Độ,,,
1,37,Indonesia,,,
1,38,Hàn Quốc,,韓国,
1,39,Thái Lan,,,
1,40,Trung Quốc,,中国,
1,41,Đức,,,
1,42,Nhật Bản,,日本,
1,43,Pháp,,,
1,44,Braxin,,,
1,45,Đại học Sakura (giả tưởng),,さくら大学,
1,46,Đại học Phú Sĩ (giả tưởng),,富士大学,
1,47,công ty điện Power,,,
1,48,tên một tổ chức giả tưởng,,,
1,49,tên một bệnh viện giả tưởng,,神戸病院,
2,1,"cái này, đây",,,
2,2,"cái đó, đó",,,
2,3,"cái kia, kia",,,
2,4,~ này,,,
2,5,~ đó,,,
2,6,~ kia,,,
2,7,sách,,本,
2,8,từ điển,,辞書,
2,9,tạp chí,,雑誌,
2,10,báo,,新聞,
2,11,vở,,,
2,12,sổ tay,,手帳,
2,13,danh thiếp,,名刺,
2,14,"thẻ, cạc",,,
2,15,thẻ điện thoại,,,
2,16,bút chì,,鉛筆,
2,17,bút bi,,,
2,18,"bút chì kim, bút chì bấm",,,
2,19,chìa khóa,,鍵,
2,20,đồng hồ,,時計,
2,21,"ô, dù",,傘,
2,22,"cặp sách, túi sách",,,
2,23,băng cát-xét,,,
2,24,máy ghi âm,,,
2,25,tivi,,,
2,26,radio,,,
2,27,máy ảnh,,,
2,28,máy vi tính,,,
2,29,"ô tô, xe hơi",,自動車,
2,30,cái bàn,,机,
2,31,cái ghế,,,
2,32,sô-cô-la,,,
2,33,cà phê,,,
2,34,tiếng Anh,,英語,
2,35,tiếng Nhật,,日本語,
2,36,cái gì,,,
2,37,cái gì,,何,
2,38,đúng rồi,,,
2,39,"không phải, không đúng, sai rồi",,違います,
2,40,"thế à, vậy à",,,
2,41,"à, ờ",,,
2,42,chỉ là chút lòng thành thôi,,ほんの気持ち,
2,43,xin mời,,,
2,44,cảm ơn,,,
2,45,xin chân thành cảm ơn,,,
2,46,từ nay tôi rất mong sự giúp đỡ của anh/chị,,これからお世話になります,
2,47,chính tôi mới phải xin anh/chị giúp đỡ,,,
3,1,"chỗ này, đây",,,
3,2,"chỗ đó, đó",,,
3,3,"chỗ kia, kia",,,
3,4,"chỗ nào, đâu",,,
3,5,"phía này, đằng này, chỗ này, đây",,,
3,6,"phía đó, đằng đó, chỗ đó, đó",,,
3,7,"phía kia, đằng kia, chỗ kia, kia",,,
3,8,"phía nào, đằng nào, chỗ nào, đâu",,,
3,9,"lớp học, phòng học",,教室,
3,10,nhà ăn,,食堂,
3,11,văn phòng,,事務所,
3,12,phòng họp,,会議室,
3,13,"bộ phận tiếp tân, phòng thường trực",,受付,
