みます,"見ます | KIẾN | xem, nhìn"
みます,"診ます | CHẨN | chẩn đoán, khám bệnh"
さがします,捜します | SƯU | tìm đồ vật bị mất
さがします,"探します | THÁM | tìm, tìm kiếm (công việc, người…)"
[じかんに～]おくれます,[時間に～]遅れます | THỜI GIAN TRÌ | trễ giờ
[かいぎに～]まにあいます,[会議に～]間に合います | HỘI NGHỊ GIAN HỢP | kịp giờ
[しゅくだいを～]やります,[宿題を～]やります | TÚC ĐỀ | làm bài tập
[ごみを～]ひろいます,[ごみを～]拾います | THẬP | nhặt rác
[がっこうに～]れんらくします,[学校に～]連絡します | HỌC HIỆU LIÊN LẠC | liên lạc với trường học
きぶんがいい,"気分がいい | KHÍ PHÂN | tâm trạng, thể trạng tốt"
きぶんがわるい,"気分が悪い | KHÍ PHÂN ÁC | tâm trạng, thể trạng xấu"
うんどうかい,運動会 | VẬN ĐỘNG HỘI | hội thi thể thao
ぼんおどり,盆踊り | BỒN DŨNG | lễ hội múa Obon
フリーマーケット,"— | — | chợ đồ cũ, chợ trời"
ばしょ,"場所 | TRƯỜNG SỞ | nơi chốn, địa điểm"
ボランティア,"— | — | việc từ thiện, tình nguyện viên"
さいふ,財布 | TÀI BỐ | ví
ごみ,— | — | rác
こっかいぎじどう,国会議事堂 | QUỐC HỘI NGHỊ SỰ ĐƯỜNG | tòa nhà Quốc hội
へいじつ,平日 | BÌNH NHẬT | ngày thường
おおさかべん（ほうげん）,"大阪弁（方言） | ĐẠI PHẢN BIỆN (PHƯƠNG NGÔN) | tiếng Osaka, tiếng địa phương"
こんど,今度 | KIM ĐỘ | lần tới
ずいぶん,"— | — | khá, tương đối"
ちょくせつ,直接 | TRỰC TIẾP | trực tiếp
いつでも,"— | — | lúc nào cũng, bất cứ lúc nào"
どこでも,"— | — | ở đâu cũng, bất cứ đâu"
だれでも,"— | — | ai cũng, bất cứ ai"
なんでも,"— | — | cái gì cũng, bất cứ thứ gì"
こんな…,— | — | …như thế này
そんな…,— | — | …như thế đó
あんな…,— | — | …như thế kia
かたづきます,"片付きます | PHIẾN PHÓ | sắp xếp, dọn dẹp"
だします,"出します | XUẤT | đổ, để (rác)"
もえるごみ,燃えるごみ | NHIÊN | rác cháy được
おきば,"置き場 | TRÍ TRƯỜNG | chỗ để, chỗ đặt"
よこ,横 | HOÀNH | bên cạnh
びん,瓶 | BÌNH | cái chai
かん,"缶 | PHỮU | cái lon, hộp kim loại"
ガス,— | — | ga
ガスがいしゃ,ガス会社 | HỘI XÃ | công ty ga
うちゅう,宇宙 | VŨ TRỤ | vũ trụ
さま,"様（田中様、お客様） | DẠNG | ngài, vị"
うちゅうせん,宇宙船 | VŨ TRỤ THUYỀN | tàu vũ trụ
こわい,"怖い | BỐ | sợ, đáng sợ"
ちがいます,"違います | VI | khác, không phải"
うちゅうひこうし,宇宙飛行士 | VŨ TRỤ PHI HÀNH SĨ | nhà du hành vũ trụ
